fold,precision,recall,f1,auc,pos_ratio_train
1,0.4583333333333333,0.7586206896551724,0.5714285714285714,0.8297966401414677,0.26768926274121724
2,0.4090909090909091,0.9310344827586207,0.5684210526315789,0.8483642793987621,0.26768926274121724
3,0.49056603773584906,0.896551724137931,0.6341463414634146,0.8682581786030061,0.26768926274121724
4,0.3958333333333333,0.6551724137931034,0.4935064935064935,0.7617152961980549,0.26768926274121724
5,0.7307692307692307,0.6551724137931034,0.6909090909090909,0.9071618037135278,0.26768926274121724
6,0.5238095238095238,0.7586206896551724,0.6197183098591549,0.8152077807250221,0.26768926274121724
7,0.45454545454545453,0.6896551724137931,0.547945205479452,0.7740937223695845,0.26768926274121724
8,0.4576271186440678,0.9310344827586207,0.6136363636363636,0.8762157382847038,0.26768926274121724
9,0.6571428571428571,0.7931034482758621,0.71875,0.8817733990147784,0.2675568743818002
10,0.7,0.4827586206896552,0.5714285714285714,0.8190774742498881,0.2675568743818002
11,0.4482758620689655,0.9285714285714286,0.6046511627906976,0.8594322344322345,0.26805143422354105
12,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.9010989010989011,0.26805143422354105
13,0.5434782608695652,0.8928571428571429,0.6756756756756757,0.9226190476190476,0.26805143422354105
14,0.5416666666666666,0.9285714285714286,0.6842105263157895,0.8832417582417582,0.26805143422354105
15,0.5135135135135135,0.6785714285714286,0.5846153846153846,0.8456959706959707,0.26805143422354105
16,0.6875,0.39285714285714285,0.5,0.8406593406593407,0.26805143422354105
17,0.4594594594594595,0.6071428571428571,0.5230769230769231,0.8086080586080586,0.26805143422354105
18,0.5263157894736842,0.7142857142857143,0.6060606060606061,0.8621794871794872,0.26805143422354105
19,0.3793103448275862,0.7857142857142857,0.5116279069767442,0.7655677655677655,0.26805143422354105
20,0.3877551020408163,0.6785714285714286,0.4935064935064935,0.7760989010989011,0.26805143422354105
