split,train_excluded,test_excluded,train_patients,test_patients
1,1,0,93,32
2,1,0,93,32
3,0,1,94,31
4,1,0,93,32
5,1,0,93,32
6,1,0,93,32
7,1,0,93,32
8,1,0,93,32
9,1,0,93,32
10,1,0,93,32
11,0,1,94,31
12,1,0,93,32
13,1,0,93,32
14,0,1,94,31
15,1,0,93,32
16,1,0,93,32
17,1,0,93,32
18,1,0,93,32
19,1,0,93,32
20,1,0,93,32
21,1,0,93,32
22,0,1,94,31
23,1,0,93,32
24,1,0,93,32
25,1,0,93,32
26,1,0,93,32
27,1,0,93,32
28,1,0,93,32
29,1,0,93,32
30,1,0,93,32
31,1,0,93,32
32,1,0,93,32
33,1,0,93,32
34,1,0,93,32
35,1,0,93,32
36,1,0,93,32
37,1,0,93,32
38,0,1,94,31
39,1,0,93,32
40,0,1,94,31
41,1,0,93,32
42,1,0,93,32
43,0,1,94,31
44,1,0,93,32
45,1,0,93,32
46,0,1,94,31
47,0,1,94,31
48,1,0,93,32
49,1,0,93,32
50,1,0,93,32
51,0,1,94,31
52,1,0,93,32
53,1,0,93,32
54,0,1,94,31
55,0,1,94,31
56,0,1,94,31
57,1,0,93,32
58,1,0,93,32
59,1,0,93,32
60,1,0,93,32
61,1,0,93,32
62,0,1,94,31
63,0,1,94,31
64,0,1,94,31
65,1,0,93,32
66,1,0,93,32
67,1,0,93,32
68,1,0,93,32
69,1,0,93,32
70,1,0,93,32
71,0,1,94,31
72,1,0,93,32
73,1,0,93,32
74,0,1,94,31
75,1,0,93,32
76,0,1,94,31
77,1,0,93,32
78,1,0,93,32
79,1,0,93,32
80,0,1,94,31
81,1,0,93,32
82,0,1,94,31
83,1,0,93,32
84,1,0,93,32
85,1,0,93,32
86,1,0,93,32
87,1,0,93,32
88,1,0,93,32
89,1,0,93,32
90,1,0,93,32
91,0,1,94,31
92,1,0,93,32
93,1,0,93,32
94,1,0,93,32
95,1,0,93,32
96,1,0,93,32
97,1,0,93,32
98,1,0,93,32
99,1,0,93,32
100,1,0,93,32
101,1,0,93,32
102,1,0,93,32
103,1,0,93,32
104,1,0,93,32
105,1,0,93,32
106,1,0,93,32
107,1,0,93,32
108,1,0,93,32
109,1,0,93,32
110,1,0,93,32
111,1,0,93,32
112,1,0,93,32
113,1,0,93,32
114,1,0,93,32
115,0,1,94,31
116,1,0,93,32
117,1,0,93,32
118,1,0,93,32
119,1,0,93,32
120,0,1,94,31
121,1,0,93,32
122,1,0,93,32
123,1,0,93,32
124,0,1,94,31
125,1,0,93,32
126,1,0,93,32
127,1,0,93,32
128,0,1,94,31
129,0,1,94,31
130,0,1,94,31
131,1,0,93,32
132,0,1,94,31
133,0,1,94,31
134,1,0,93,32
135,0,1,94,31
136,0,1,94,31
137,1,0,93,32
138,1,0,93,32
139,1,0,93,32
140,1,0,93,32
141,1,0,93,32
142,1,0,93,32
143,1,0,93,32
144,0,1,94,31
145,0,1,94,31
146,0,1,94,31
147,1,0,93,32
148,1,0,93,32
149,1,0,93,32
150,0,1,94,31
151,0,1,94,31
152,0,1,94,31
153,0,1,94,31
154,1,0,93,32
155,1,0,93,32
156,1,0,93,32
157,1,0,93,32
158,1,0,93,32
159,1,0,93,32
160,1,0,93,32
161,1,0,93,32
162,0,1,94,31
163,1,0,93,32
164,1,0,93,32
165,1,0,93,32
166,1,0,93,32
167,1,0,93,32
168,1,0,93,32
169,0,1,94,31
170,0,1,94,31
171,0,1,94,31
172,1,0,93,32
173,1,0,93,32
174,1,0,93,32
175,1,0,93,32
176,0,1,94,31
177,0,1,94,31
178,1,0,93,32
179,1,0,93,32
180,1,0,93,32
181,1,0,93,32
182,0,1,94,31
183,0,1,94,31
184,0,1,94,31
185,1,0,93,32
186,1,0,93,32
187,1,0,93,32
188,1,0,93,32
189,1,0,93,32
190,1,0,93,32
191,1,0,93,32
192,1,0,93,32
193,1,0,93,32
194,1,0,93,32
195,0,1,94,31
196,0,1,94,31
197,1,0,93,32
198,1,0,93,32
199,1,0,93,32
200,1,0,93,32
