specificity_target,threshold_train,sensitivity,specificity,PPV_at_pi,TP_per_100k,FP_per_100k,referrals_per_100k,split
0.8,0.7934920158913555,0.39999999999992,0.8148148148147847,0.005384385282649292,99.99999999997999,18472.222222225228,18572.22222222521,1
0.95,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.97,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.98,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.99,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.995,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.999,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,1
0.8,0.7627699267933574,0.0,0.7037037037036776,0.0,0.0,29555.555555558156,29555.555555558156,2
0.95,0.8063195162658479,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.97,0.8063195162658479,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.98,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.99,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.995,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.999,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,2
0.8,0.8004562132998256,0.0,0.888888888888856,0.0,0.0,11083.333333336615,11083.333333336615,3
0.95,0.8056135650606138,0.0,0.9629629629629274,0.0,0.0,3694.4444444479936,3694.4444444479936,3
0.97,0.813409246690183,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,3
0.98,0.813409246690183,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,3
0.99,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,3
0.995,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,3
0.999,inf,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,3
0.8,0.778327079587865,0.0,0.8461538461538136,0.0,0.0,15346.153846157093,15346.153846157093,4
0.95,0.8416037081018017,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,4
0.97,0.8416037081018017,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,4
0.98,0.8416037081018017,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,4
0.99,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,4
0.995,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,4
0.999,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,4
0.8,0.7715053041477737,0.0,0.8399999999999664,0.0,0.0,15960.000000003347,15960.000000003347,5
0.95,0.8386880162348027,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.97,0.8386880162348027,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.98,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.99,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.995,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.999,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,5
0.8,0.7761177841075577,0.0,0.8518518518518203,0.0,0.0,14777.777777780922,14777.777777780922,6
0.95,0.8154842490352413,0.0,0.9629629629629274,0.0,0.0,3694.4444444479936,3694.4444444479936,6
0.97,0.8255879643466256,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,6
0.98,0.8255879643466256,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,6
0.99,0.8255879643466256,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,6
0.995,0.8255879643466256,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,6
0.999,0.8255879643466256,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,6
0.8,0.7567939051559289,0.59999999999988,0.8148148148147847,0.008054892601385828,149.99999999997,18472.222222225228,18622.2222222252,7
0.95,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.97,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.98,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.99,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.995,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.999,0.8340666329812264,0.0,0.999999999999963,0.0,0.0,3.687800065321767e-09,3.687800065321767e-09,7
0.8,0.7523946756608016,0.9999999999995,0.7999999999999734,0.012376237623693368,249.999999999875,19950.000000002652,20200.00000000253,8
0.95,0.8335960285505917,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.97,0.8544087431252623,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.98,0.8544087431252623,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.99,0.8544087431252623,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.995,0.8544087431252623,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.999,0.8544087431252623,0.0,0.9999999999999667,0.0,0.0,3.322342401190781e-09,3.322342401190781e-09,8
0.8,0.7597651923876216,0.0,0.5806451612903039,0.0,0.0,41830.64516129219,41830.64516129219,9
0.95,0.8549937607292779,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.97,0.8549937607292779,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.98,inf,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.99,inf,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.995,inf,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.999,inf,0.0,0.9999999999999678,0.0,0.0,3.2115976544844216e-09,3.2115976544844216e-09,9
0.8,0.756368930652504,0.16666666666663887,0.8461538461538136,0.0027077692147283094,41.666666666659715,15346.153846157093,15387.820512823753,10
0.95,0.8211663003313352,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.97,0.8211663003313352,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.98,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.99,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.995,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.999,inf,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,10
0.8,0.7835311224152756,0.19999999999996,0.6923076923076658,0.0016264231202244457,49.999999999989996,30692.30769231034,30742.30769231033,11
0.95,0.8247882484970768,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.97,0.8291339550185413,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.98,0.8291339550185413,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.99,0.8291339550185413,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.995,0.8291339550185413,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.999,0.8291339550185413,0.0,0.9615384615384246,0.0,0.0,3836.5384615421467,3836.5384615421467,11
0.8,0.764652931741287,0.2857142857142449,0.8799999999999648,0.005931901767654892,71.42857142856123,11970.00000000351,12041.428571432072,12
0.95,0.8308009793952251,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,12
0.97,0.8308009793952251,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,12
0.98,0.8475265912064855,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,12
0.99,0.8475265912064855,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,12
