specificity_target,threshold_train,sensitivity,specificity,PPV_at_pi,TP_per_100k,FP_per_100k,referrals_per_100k,split
0.95,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.97,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.98,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.99,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.995,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.999,0.6733075014061399,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,1
0.95,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.97,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.98,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.99,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.995,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.999,0.6631304234283543,0.9999999999997999,0.07407407407407134,0.002699460107974943,249.99999999994998,92361.11111111139,92611.11111111134,2
0.95,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.97,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.98,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.99,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.995,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.999,0.6626715008433761,0.99999999999975,0.111111111111107,0.002811621368318523,249.9999999999375,88666.66666666708,88916.66666666702,3
0.95,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.97,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.98,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.99,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.995,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.999,0.6845103273698223,0.9999999999998334,0.15384615384614794,0.0029532030895007707,249.99999999995833,84403.84615384674,84653.8461538467,4
0.95,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.97,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.98,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.99,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.995,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.999,0.5166393410062992,0.2857142857142449,0.6399999999999745,0.001985151069990486,71.42857142856123,35910.00000000255,35981.428571431105,5
0.95,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.97,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.98,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.99,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.995,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.999,0.7217701917257213,0.9999999999997999,0.111111111111107,0.002811621368318663,249.99999999994998,88666.66666666708,88916.66666666704,6
0.95,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.97,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.98,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.99,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.995,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.999,0.7327341115777722,0.9999999999997999,0.03703703703703567,0.0025959042399737084,249.99999999994998,96055.5555555557,96305.55555555565,7
0.95,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.97,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.98,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.99,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.995,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.999,0.7738766093549028,0.9999999999995,0.06666666666666445,0.002678093197639067,249.999999999875,93100.00000000022,93350.00000000009,8
0.95,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.97,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.98,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.99,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.995,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.999,0.6913898570601167,0.9999999999989999,0.03225806451612799,0.002583118073488627,249.99999999974997,96532.25806451624,96782.25806451599,9
0.95,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.97,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.98,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.99,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.995,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.999,0.6366339505817522,0.8333333333331945,0.11538461538461095,0.0023554138280879617,208.3333333332986,88240.38461538506,88448.71794871836,10
0.95,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.97,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.98,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.99,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.995,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.999,0.6901387743619853,0.9999999999997999,0.11538461538461095,0.0028251657068309576,249.99999999994998,88240.38461538506,88490.38461538502,11
0.95,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
