id,x,label,cluster
1,"[18946. 11782.  8674.  6976. 14852. 10165.  7627.  3781.  9856. 13705.
 11221. 10998.  9789. 12100. 10144. 12001. 14517.  9547. 10981.  8769.
  4707. 10720. 10554.  7693.  7211.  5461.  9750.  3872. 10188. 11391.
 10019. 14768. 10559. 10450. 10693. 14548. 10967. 14985. 10394. 14363.
 14068.  8848. 12445. 10447. 11675.  7773.  7566.  9485. 22724. 15549.
 16145. 14437.  8854. 11435. 14888.  7365. 12433. 10004. 11037. 11104.
 11236. 11419.  9238. 13885. 13584. 10091.]",0,1
10,"[5191. 5311. 3532. 5582. 3348. 2352. 3376. 2891. 3846. 3600. 5056. 6063.
 4974. 4523. 5232. 6115. 5260. 6094. 3630. 4676. 3704. 5459. 6624. 4925.
 4969. 5371. 4374. 7397. 6066. 5704. 6256. 5134. 6409. 2281. 3197. 4858.
 6639. 2619. 3646. 4193. 5511. 5640. 6178. 7306. 8199. 7061. 6142. 4023.
 4938. 4467. 4879. 5726. 6233. 5826. 3632. 6599. 5867. 6486. 7601. 5499.
 3472. 6464. 6320. 8459. 6308. 6374.]",0,1
12,"[ 8717.  4812. 11170. 11894.  5287.  5879. 11152.  6555. 10878. 10979.
 13698. 10186.  8559.  7364.  7893.  8436.  9275.  8275.  5602.  4802.
  7356. 13869.  6127. 11490. 12576. 12208.  8458.  7259.  5606.  4654.
  4295.  4462.  7524.  6694.  5803.  3857. 15707.  7106. 11223.  3845.
  5723. 11552. 10264.  3751.  3066.  4899.  1668.  5456.  3714.  5537.
  3828.  5737.  9853.  5628.  3616. 11168.  5192. 10901.  4101.  9988.
  6214.  9370.  8914.  2762. 10484. 12702.]",0,0
13,"[ 4816.  8410.  9491.  6362.  5561.  4837. 11225.  9167. 10088. 13894.
  5631.  6790.  6999. 10172.  8620.  8687.  8220.  8194. 15553.  7652.
  6488.  6276. 12108.  9915.  7506.  8171.  8937.  5077.  7461.  6357.
  6894.  6293.  9460.  8265.  5795. 11235. 17650.  8362.  6677. 13888.
  6558.  6535. 11077. 13490. 13053.  9295. 12174.  5381. 10517.  7420.
 12801. 10067.  7247.  9087.  7743. 11748.  6600. 12569.  6611. 12895.
  2855.  4714. 10332.  8874.  8322.  6746.]",0,2
15,"[ 3596.  3532.  4626.  2878.  2872.  3191.  3045.  2828.  4936.  3477.
  3377.  3669.  3514.  4144.  4611.  3837.  3406.  3584.  2470.  4081.
  4923.  5777.  4172.  2777.  3028.  4890.  7801.  5447.  3410.  2218.
  4474.  3352.  2931.  4999.  3821.  2977.  3367.  3992.  3160.  2854.
  3669.  4781.  3340.  6377.  3370.  5337.  4090.  6371.  4340.  3167.
  4961.  4232. 10405.  6796.  4835.  3422.  4200.  2927.  4193.  2375.
  3634.  4544.  4958.  4281.  3834.  4120.]",0,1
17,"[ 4134.  3016.  2168.  1155.  6630.  1799. 13876. 13631.  3936.  1791.
  2335.  3640. 19318. 16361. 15050. 22447. 15177. 16071. 21261. 18692.
 15049. 15021. 15052.  7571.  3300. 10423.  3575.  3081.  4731.  2462.
  1683.  2629.  4781.  9184.  4058.  5749.  4207.  2029.  5592.  2582.
  5953.  2294.  7008.  5689.  4495.  3607. 10083.  1963.  2303.  3602.
  5711.  7948.  6744.  7304.  4218.  3931.  2926.  2159.  2306.  1803.
  2350.  6145.  6428.  6305.  3426.  5016.]",0,2
18,"[2559.  927.  629. 3852. 2765. 2547. 2072. 2221. 1469. 1616. 2286. 4001.
 2367. 2122. 3231. 2596. 1806. 2529. 3604. 1592. 2835. 1740. 2605. 3695.
 2454. 4543. 1862. 1707. 2563. 3046. 3038. 2954. 3066. 1954. 2348. 3590.
 2202. 2069. 2915. 1975. 2584. 1284. 1812. 2452. 1854. 1249.  595. 1567.
 1802. 2953. 2905. 1742. 1123. 1978. 2816. 3112. 1338. 1698. 1562. 3271.
 3728. 3128. 2651. 1675. 3334. 2333.]",0,0
19,"[ 693. 1262. 1411. 1270. 2330. 1331. 2021. 5921. 1784. 1300. 1083. 1553.
 1887. 2315. 5333.  941.  546.  561.  335.  931. 4659.  857.  920. 1254.
  418.  364.  935.  685.  520.  847. 1503.  939. 1521.  687.  684. 1028.
 1476. 1293.  688. 1418. 1236. 1326. 1479.  895.  792. 1739. 1079. 1054.
 1497.  626. 1203.  694.  532.  568. 1444. 1016. 2072. 1464. 1219.  826.
  892.  848.  949.  872. 1275.  796.]",0,2
2,"[ 6746. 10965. 12342.  9771.  5187.  9455.  9758.  8466.  5467.  6299.
  8680.  9687.  9583. 11566. 11749.  4987.  5944. 10364. 10511. 10418.
  7035. 10429.  9056.  8708.  7311.  9879.  9386.  9528.  9332.  9804.
  8519.  9434. 10813.  6052.  8472. 10404.  9036.  9261.  6285. 10112.
  3441. 10442. 10370.  6620.  9466. 12149. 10211.  9020. 11941.  9868.
 10959.  7677.  8351.  7456.  5553.  9613.  7901.  8284.  5374. 11699.
  9753. 10126.  5657. 11320. 10644. 10523.]",0,0
20,"[ 3877.  3337.  2703.  3073.  2552.  5153.  2791.  1992.  2325.  3896.
  1688.  1711. 11963.  2378.  4315.  3894.  3684.  5808.  6130.  2118.
  2932.  2018.  2537.  3232.  3232.  4886.  4357.  3708.  3283.  2024.
  2987.  2052.  4097.  3463.  6270.  2531.  3631.  3681.  3346.  2652.
  2508.  2322.  1356.  1633.  3928.  2049.  2283.  3679.  4977.  3009.
  1560.  3013.  2474.  3535.  2636.  2507.  3073.  1523.  4470.  1957.
  2381.  1930.  3282.  2657.  3150.  2609.]",0,1
